Product ID,Period,Variable,Value
22B,Q2 97,x,1332754300.0
22B,Q2 97,W,0.0
22B,Q2 97,I,0.0
22B,Q2 97,S,0.0
22B,Q2 97,E,0.0
22B,Q2 97,SSV,0.0
22B,Q3 97,x,1183814500.0
22B,Q3 97,W,0.0
22B,Q3 97,I,0.0
22B,Q3 97,S,0.0
22B,Q3 97,E,0.0
22B,Q3 97,SSV,0.0
22B,Q4 97,x,2956338700.0
22B,Q4 97,W,0.0
22B,Q4 97,I,0.0
22B,Q4 97,S,0.0
22B,Q4 97,E,0.0
22B,Q4 97,SSV,0.0
22B,Q1 98,x,850295470.0
22B,Q1 98,W,0.0
22B,Q1 98,I,0.0
22B,Q1 98,S,0.0
22B,Q1 98,E,0.0
22B,Q1 98,SSV,0.0
22B,Q2 98,x,217725120.0
22B,Q2 98,W,0.0
22B,Q2 98,I,0.0
22B,Q2 98,S,0.0
22B,Q2 98,E,0.0
22B,Q2 98,SSV,0.0
22B,Q3 98,x,171775580.0
22B,Q3 98,W,0.0
22B,Q3 98,I,0.0
22B,Q3 98,S,0.0
22B,Q3 98,E,0.0
22B,Q3 98,SSV,0.0
22B,Q4 98,x,120686980.0
22B,Q4 98,W,0.0
22B,Q4 98,I,0.0
22B,Q4 98,S,0.0
22B,Q4 98,E,0.0
22B,Q4 98,SSV,0.0
22B,Q1 99,x,172409970.0
22B,Q1 99,W,0.0
22B,Q1 99,I,0.0
22B,Q1 99,S,0.0
22B,Q1 99,E,0.0
22B,Q1 99,SSV,0.0
22B,Q2 99,x,92836138.0
22B,Q2 99,W,0.0
22B,Q2 99,I,0.0
22B,Q2 99,S,0.0
22B,Q2 99,E,0.0
22B,Q2 99,SSV,0.0
22B,Q3 99,x,2029953000.0
22B,Q3 99,W,0.0
22B,Q3 99,I,0.0
22B,Q3 99,S,0.0
22B,Q3 99,E,0.0
22B,Q3 99,SSV,0.0
22B,Q4 99,x,1198320600.0
22B,Q4 99,W,0.0
22B,Q4 99,I,0.0
22B,Q4 99,S,0.0
22B,Q4 99,E,0.0
22B,Q4 99,SSV,0.0
22B,Q1 00,x,2392332600.0
22B,Q1 00,W,0.0
22B,Q1 00,I,0.0
22B,Q1 00,S,0.0
22B,Q1 00,E,0.0
22B,Q1 00,SSV,0.0
22B,Q2 00,x,1700172600.0
22B,Q2 00,W,0.0
22B,Q2 00,I,0.0
22B,Q2 00,S,0.0
22B,Q2 00,E,0.0
22B,Q2 00,SSV,0.0
22B,Q3 00,x,2558729200.0
22B,Q3 00,W,36922.499
22B,Q3 00,I,0.0
22B,Q3 00,S,0.0
22B,Q3 00,E,0.0
22B,Q3 00,SSV,0.0
22B,Q4 00,x,679981190.0
22B,Q4 00,W,0.0
22B,Q4 00,I,0.0
22B,Q4 00,S,0.0
22B,Q4 00,E,0.0
22B,Q4 00,SSV,0.0
22B,Q1 01,x,1235318500.0
22B,Q1 01,W,0.0
22B,Q1 01,I,0.0
22B,Q1 01,S,0.0
22B,Q1 01,E,0.0
22B,Q1 01,SSV,0.0
22B,Q2 01,x,1051986700.0
22B,Q2 01,W,0.0
22B,Q2 01,I,0.0
22B,Q2 01,S,0.0
22B,Q2 01,E,0.0
22B,Q2 01,SSV,0.0
22B,Q3 01,x,2280317800.0
22B,Q3 01,W,0.0
22B,Q3 01,I,0.0
22B,Q3 01,S,0.0
22B,Q3 01,E,0.0
22B,Q3 01,SSV,0.0
22B,Q4 01,x,1716154000.0
22B,Q4 01,W,0.0
22B,Q4 01,I,0.0
22B,Q4 01,S,0.0
22B,Q4 01,E,0.0
22B,Q4 01,SSV,0.0
22B,Q1 02,x,1043557100.0
22B,Q1 02,W,0.0
22B,Q1 02,I,0.0
22B,Q1 02,S,0.0
22B,Q1 02,E,0.0
22B,Q1 02,SSV,0.0
22B,Q2 02,x,2144985300.0
22B,Q2 02,W,0.0
22B,Q2 02,I,0.0
22B,Q2 02,S,0.0
22B,Q2 02,E,0.0
22B,Q2 02,SSV,0.0
22B,Q3 02,x,1892232900.0
22B,Q3 02,W,0.0
22B,Q3 02,I,0.0
22B,Q3 02,S,0.0
22B,Q3 02,E,0.0
22B,Q3 02,SSV,0.0
22B,Q4 02,x,813031060.0
22B,Q4 02,W,0.0
22B,Q4 02,I,0.0
22B,Q4 02,S,0.0
22B,Q4 02,E,0.0
22B,Q4 02,SSV,0.0
22B,Q1 03,x,1963865800.0
22B,Q1 03,W,0.0
22B,Q1 03,I,0.0
22B,Q1 03,S,0.0
22B,Q1 03,E,0.0
22B,Q1 03,SSV,0.0
22B,Q2 03,x,1631591300.0
22B,Q2 03,W,0.0
22B,Q2 03,I,0.0
22B,Q2 03,S,0.0
22B,Q2 03,E,0.0
22B,Q2 03,SSV,0.0
22B,Q3 03,x,803641150.0
22B,Q3 03,W,0.0
22B,Q3 03,I,0.0
22B,Q3 03,S,0.0
22B,Q3 03,E,0.0
22B,Q3 03,SSV,0.0
22B,Q4 03,x,899379880.0
22B,Q4 03,W,0.0
22B,Q4 03,I,0.0
22B,Q4 03,S,0.0
22B,Q4 03,E,0.0
22B,Q4 03,SSV,0.0
23C,Q2 95,x,0.0
23C,Q2 95,W,0.0
23C,Q2 95,I,0.0
23C,Q2 95,S,0.0
